category,city,end_time,name,site_lat,site_lng,site_name,start_time
创业加盟,上海市,2018-04-22,2018第六届中国上海微商博览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-20
礼品玩具,北京市,2018-04-22,2018第十九届中国国际模型展览会,39.9462556053,116.350718971,北京展览馆,2018-04-20
建材五金,义乌市,2018-04-22,2018第十五届中国国际五金电器博览会,29.3180339775,120.11986657,义乌国际博览中心,2018-04-20
纺织纺机,香港,2018-04-23,2018年香港国际家用纺织品展览会,22.2869558041,114.184598867,香港湾仔博览道一号香港会议展览中心,2018-04-20
房产家居,香港,2018-04-23,2018年香港家庭用品展,22.2869558041,114.184598867,香港会议展览中心,2018-04-20
食品饮料,呼和浩特市,2018-04-15,2018第十四届中国内蒙古食博会,40.8310344844,111.754917961,内蒙古国际会展中心,2018-04-13
旅游行业,厦门市,2018-04-22,2018中国厦门国际休闲旅游博览会,24.4735054247,118.189009566,厦门国际会展中心,2018-04-20
农林牧渔,厦门市,2018-04-22,第十三届中国国际厦门渔业博览会,24.4735054247,118.189009566,厦门国际会展中心,2018-04-20
汽摩配件,广州市,2018-04-15,2018第十六届中国广州国际汽车零部件展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
机械工业,广州市,2018-04-15,2018广州国际机器人及工业自动化展览会,23.1066760687,113.367058065,广州琶洲国际采购中心,2018-04-13
礼品玩具,苏州市,2018-04-15,2018苏州宠物用品品牌暨宠物秀,31.3292782289,120.715803186,苏州国际博览中心,2018-04-13
广告媒体,武汉市,2018-04-15,2018第二十二届武汉广告技术及设备展览会,30.5133201709,114.248155501,武汉国际博览中心汉阳B3,2018-04-13
创业加盟,南京市,2018-04-15,2018第二十届南京特许连锁加盟创业展览会,32.0822187335,118.813278296,南京国际展览中心,2018-04-13
食品饮料,合肥市,2018-04-15,2018第十二届中国坚果炒货休闲食品暨配料包装设备展览会,31.7859604137,117.229682151,安徽国际会展中心,2018-04-13
运输物流,洛阳市,2018-04-15,中原国际物流节暨现代物流产业及技术装备展览会,34.6238995773,112.438507311,洛阳会展中心,2018-04-13
汽摩配件,广州市,2018-04-15,2018第九届广州国际充电桩站技术设备展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
印刷包装,广州市,2018-04-15,2018广州国际3D打印技术展览会,23.1066760687,113.367058065,广州琶洲国际采购中心,2018-04-13
交通工具,广州市,2018-04-15,2018第九届广州国际新能源汽车工业展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
房产家居,临沂市,2018-04-15,2018中国临沂国际家居饰品及手工艺品博览会,35.0249309423,118.417878758,临沂国际会展中心,2018-04-13
能源矿产,广州市,2018-04-15,2018广州国际锂电工业展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
美容美发,昆山,2018-04-15,2018中国国际芳香产业昆山展览会,31.390854555,121.039992589,昆山国际会展中心,2018-04-13
礼品玩具,青岛市,2018-04-15,2018中国青岛国际宠物及水族产业展览会,36.1104007468,120.480622379,青岛国际会展中心,2018-04-13
医疗保健,上海市,2018-04-15,2018一带一路亚洲国际医疗旅游博览会,31.2308893627,121.459315403,上海展览中心,2018-04-13
安全防护,武汉市,2018-04-15,2018中国武汉消防产品与应急救援装备展览会,30.585598843,114.280230907,武汉国际会展中心,2018-04-13
食品饮料,武汉市,2018-04-15,2018第七届中国武汉国际焙烤展览会,30.5133201709,114.248155501,武汉国际博览中心,2018-04-13
建材五金,长沙市,2018-04-15,2018中部长沙建材新产品招商暨全屋定制博览会,28.2406228614,113.05593445,湖南国际会展中心,2018-04-13
汽摩配件,广州市,2018-04-15,2018第十六届广州国际智能交通及停车设备展览会,23.1066760687,113.367058065,广州琶洲国际采购中心,2018-04-13
食品饮料,南昌市,2018-04-16,2018中国南昌茶业博览会暨紫砂陶瓷茶具茶器展,28.6895780001,115.893527546,南昌古玩城博览中心,2018-04-13
汽摩配件,广州市,2018-04-15,2018第十六届广州国际汽车制造装备及材料展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
孕婴童,成都市,2018-04-15,2018亚洲幼教年会暨学前教育产业年展,30.6799428454,104.067923463,成都西部国际博览城,2018-04-13
汽摩配件,福州市,2018-04-15,第83届全国汽车配件交易会,26.0331597918,119.371239184,福州海峡国际会展中心,2018-04-13
汽摩配件,广州市,2018-04-15,2018第十一届广州国际润滑油品养护用品及技术设备展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
礼品玩具,上海市,2018-04-08,2018上海国际宠博会暨上海国际宠物文化节,31.1883954089,121.496502454,上海世博展览馆,2018-04-06
房产家居,徐州市,2018-04-15,2018中国徐州家具及木工机械展览会,34.2274255028,117.238313605,徐州国际会展中心,2018-04-13
汽摩配件,广州市,2018-04-15,2018中国国际汽车维修检测设备及汽车养护展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
房产家居,长春市,2018-04-10,2018东北长春第十四届国际家具展览会,43.8427197923,125.402298713,长春国际会展中心,2018-04-08
食品饮料,北京市,2018-04-10,2018亚洲北京国际食品饮料展览会暨进口食品博览会,39.9678796505,116.449740311,中国国际展览中心,2018-04-08
光电技术,香港,2018-04-09,2018年香港国际春季灯饰展览会,22.2869558041,114.184598867,香港会议展览中心,2018-04-06
建材五金,长春市,2018-04-10,2018吉林长春第二十三届国际建筑装饰及材料博览会,43.8450748646,125.399064997,长春国际会展中心6号馆,2018-04-08
广告媒体,银川市,2018-04-08,第四十二届中国银川广告标识LED光电照明印刷包装办公设备博览会,38.4914685849,106.230023662,银川国际会展中心,2018-04-06
创业加盟,沈阳市,2018-04-15,2018全国特许加盟连锁投资创业沈阳博览会,41.668369644,123.379619081,沈阳国际展览中心,2018-04-13
体育休闲,上海市,2018-04-08,2018上海国际潜水暨度假观光展,31.1883954089,121.496502454,上海世博展览馆,2018-04-06
美容美发,杭州市,2018-04-10,2018第34届杭州美容美发美体化妆品博览会,30.2969106788,120.182317169,杭州和平国际会展中心,2018-04-08
汽摩配件,广州市,2018-04-15,2018第五届中国广州国际汽车测试及质量监控展览会,23.1063339053,113.378402773,广州国际采购中心,2018-04-13
农林牧渔,北京市,2018-04-10,2018第九届中国国际现代农业博览会,39.9678796505,116.449740311,中国国际展览中心,2018-04-08
安全防护,长春市,2018-04-10,2018东北国际消防技术交流展览会,43.8427197923,125.402298713,长春国际会展中心,2018-04-08
纺织纺机,台州市,2018-04-10,2018中国台州国际缝制设备展览会,28.5971689801,121.378335301,台州国际会展中心,2018-04-08
医疗保健,北京市,2018-04-10,2018中国国际健康产业博览会,39.9678796505,116.449740311,中国国际展览中心,2018-04-08
礼品玩具,广州市,2018-04-10,2018第30届广州国际玩具及模型展览会,23.1016239365,113.374149961,广州保利世贸展览馆,2018-04-08
食品饮料,北京市,2018-04-10,2018北京国际优质农产品展示交易会,39.9678796505,116.449740311,中国国际展览中心,2018-04-08
食品饮料,北京市,2018-04-10,2018中国国际有机绿色食品暨高端食材博览会,39.9678796505,116.449740311,中国国际展览中心,2018-04-08
农林牧渔,武汉市,2018-04-11,2018武汉种子交易会,30.585598843,114.280230907,武汉国际会展中心,2018-04-09
电子电力,深圳市,2018-04-11,2018第91届中国深圳电子展览会,22.5363839471,114.066517985,深圳会展中心,2018-04-09
食品饮料,北京市,2018-04-10,2018第十九届国际高端健康食用油及橄榄油北京博览会,39.9678796505,116.449740311,中国国际展览中心,2018-04-08
机械工业,上海市,2018-04-13,2018第十届中国数控机床展览会,31.2131561422,121.572795285,上海新国际博览中心,2018-04-09
电子电力,深圳市,2018-04-11,2018中国深圳锂电新能源展,22.5363839471,114.066517985,深圳会展中心,2018-04-09
消费电子,深圳市,2018-04-11,2018第六届中国电子信息博览会,22.5363839471,114.066517985,深圳会展中心,2018-04-09
暖通制冷,北京市,2018-04-11,第二十九届国际制冷空调供暖通风及食品冷冻加工展览会,40.0771398326,116.55524372,中国国际展览中心新馆,2018-04-09
建材五金,重庆市,2018-04-11,2018第二届中国重庆建筑及装饰材料博览会,29.7248231346,106.548697024,重庆国际博览中心,2018-04-09
孕婴童,昆明市,2018-03-25,2018中国昆明孕婴童用品暨幼教玩具博览会,25.015358103,102.73777829,昆明国际会展中心,2018-03-23
建材五金,广州市,2018-04-12,2018广州第二届复合材料及制品展览会,23.1036930952,113.366837887,南丰国际会展中心,2018-04-10
印刷包装,东莞市,2018-04-12,2018中国国际彩盒展,22.9062440963,113.667281334,广东现代国际展览中心,2018-04-10
