category,city,name,site_lat,site_lng,site_name,start_time,end_time
交通工具,北京市,2018北京国际城市轨道交通展览会,39.96787965,116.4497403,中国国际展览中心,2018/6/13,2018/6/15
汽摩配件,武汉市,2018第十六届中国武汉国际汽车服务产业博览会暨武汉国际汽车升级及改装展览会,30.51332017,114.2481555,武汉国际博览中心,2018/6/23,2018/6/25
农林牧渔,南宁市,2018广西水产畜牧业展览会,22.81439522,108.3857217,广西南宁国际会展中心,2018/6/24,2018/6/26
汽摩配件,郑州市,2018中国郑州国际汽车后市场博览会,34.77795862,113.7372866,郑州国际会展中心,2018/6/26,2018/6/29
文化教育,合肥市,2018中国安徽国际佛事用品展览会,31.78596041,117.2296822,安徽国际会展中心,2018/6/22,2018/6/25
农林牧渔,贵阳市,2018第4届贵阳渔具展,26.64572882,106.6532075,贵阳国际会展中心7号馆,2018/6/22,2018/6/24
食品饮料,北京市,2018中国国际餐饮交易博览会,39.96787965,116.4497403,中国国际展览中心,2018/6/26,2018/6/28
环保水处理,广州市,第十二届广州国际环保产业博览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/6/26,2018/6/28
建材五金,上海市,2018年第四届西瓦木业上海展,31.20722582,121.4064088,上海世贸商城,2018/6/25,2018/6/27
电子电力,北京市,2018第八届中国国际智能电网建设及分布式能源展览会,39.96787965,116.4497403,中国国际展览中心,2018/6/26,2018/6/28
电子电力,上海市,2018上海国际电力元件可再生能源管理展览会,31.18839541,121.4965025,上海世博展览馆,2018/6/26,2018/6/28
机械工业,北京市,第十四届中国国际机床工具展览会,39.96787965,116.4497403,中国国际展览中心,2018/6/26,2018/6/30
创业加盟,上海市,2018上海第二十二届投资理财金融博览会,31.21315614,121.5727953,上海新国际博览中心,2018/6/27,2018/6/29
环保水处理,广州市,第十二届中国广州国际水处理技术设备展览会,23.14996589,113.2634958,中国进出口商品交易会展馆琶洲馆,2018/6/26,2018/6/28
机械工业,北京市,2018中国北京国际智能制造装备产业展览会,39.96787965,116.4497403,中国国际展览中心,2018/6/13,2018/6/15
贸易进出口,宁波市,第十七届中国国际日用消费品博览会,29.88525897,121.579006,宁波国际展览中心,2018/6/9,2018/6/12
农林牧渔,徐州市,2018第十五届华东地区肥料农资产品交易暨信息交流会,34.2274255,117.2383136,徐州国际会展中心,2018/6/26,2018/6/27
